date,longitude,latitude,co,co2,ch4,nh3,pm25
2/8/2015,95.55000305,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.75,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.84999847,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.94999695,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.05000305,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.15000153,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.25,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.34999847,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.44999695,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.55000305,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.65000153,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.75,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.84999847,5.050000191,0,1.69E-12,0,0,0
2/8/2015,96.94999695,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.05000305,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.15000153,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.25,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.34999847,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.44999695,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.55000305,5.050000191,0,1.69E-12,0,0,0
2/8/2015,97.65000153,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.44999695,4.949999809,0,1.69E-12,0,0,0
2/8/2015,95.55000305,4.949999809,0,1.69E-12,0,0,0
2/8/2015,95.65000153,4.949999809,0,1.69E-12,0,0,0
2/8/2015,95.75,4.949999809,0,1.69E-12,0,0,0
2/8/2015,95.84999847,4.949999809,0,1.69E-12,0,0,0
2/8/2015,95.94999695,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.05000305,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.15000153,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.25,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.34999847,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.44999695,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.55000305,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.65000153,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.75,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.84999847,4.949999809,0,1.69E-12,0,0,0
2/8/2015,96.94999695,4.949999809,0,1.69E-12,0,0,0
